	V1	V2
499	Aqu2.1.01337_001	NA
500	Aqu2.1.01342_001	NA
501	Aqu2.1.01344_001	NA
502	Aqu2.1.01350_001	NA
503	Aqu2.1.01351_001	NA
504	Aqu2.1.01354_001	NA
505	Aqu2.1.01355_001	NA
506	Aqu2.1.01356_001	NA
507	Aqu2.1.01360_001	NA
508	Aqu2.1.01368_001	NA
509	Aqu2.1.01379_001	NA
510	Aqu2.1.01390_001	NA
511	Aqu2.1.01393_001	NA
512	Aqu2.1.01398_001	NA
513	Aqu2.1.01399_001	NA
514	Aqu2.1.01405_001	NA
515	Aqu2.1.01409_001	NA
516	Aqu2.1.01424_001	NA
517	Aqu2.1.01425_001	NA
518	Aqu2.1.01432_001	NA
519	Aqu2.1.01434_001	NA
520	Aqu2.1.01437_001	NA
521	Aqu2.1.01442_001	NA
522	Aqu2.1.01448_001	NA
523	Aqu2.1.01453_001	NA
524	Aqu2.1.01459_001	NA
525	Aqu2.1.01463_001	NA
526	Aqu2.1.01465_001	NA
527	Aqu2.1.01468_001	NA
528	Aqu2.1.01482_001	NA
529	Aqu2.1.01483_001	NA
530	Aqu2.1.01484_001	NA
531	Aqu2.1.01494_001	NA
532	Aqu2.1.01495_001	NA
533	Aqu2.1.01497_001	NA
534	Aqu2.1.01500_001	NA
535	Aqu2.1.01505_001	NA
536	Aqu2.1.01506_001	NA
537	Aqu2.1.01510_001	NA
538	Aqu2.1.01515_001	NA
539	Aqu2.1.01516_001	NA
540	Aqu2.1.01518_001	NA
541	Aqu2.1.01520_001	NA
542	Aqu2.1.01528_001	NA
543	Aqu2.1.01550_001	NA
544	Aqu2.1.01551_001	NA
545	Aqu2.1.01553_001	NA
546	Aqu2.1.01555_001	NA
547	Aqu2.1.01556_001	NA
548	Aqu2.1.01557_001	NA
549	Aqu2.1.01561_001	NA
550	Aqu2.1.01563_001	NA
551	Aqu2.1.01567_001	NA
552	Aqu2.1.01575_001	NA
553	Aqu2.1.01578_001	NA
554	Aqu2.1.01579_001	NA
555	Aqu2.1.01583_001	NA
556	Aqu2.1.01585_001	NA
557	Aqu2.1.01594_001	NA
558	Aqu2.1.01603_001	NA
559	Aqu2.1.01607_001	NA
560	Aqu2.1.01609_001	NA
561	Aqu2.1.01614_001	NA
562	Aqu2.1.01618_001	NA
563	Aqu2.1.01619_001	NA
564	Aqu2.1.01621_001	NA
565	Aqu2.1.01623_001	NA
566	Aqu2.1.01629_001	NA
567	Aqu2.1.01640_001	NA
568	Aqu2.1.01643_001	NA
569	Aqu2.1.01644_001	NA
570	Aqu2.1.01647_001	NA
571	Aqu2.1.01657_001	NA
572	Aqu2.1.01663_001	NA
573	Aqu2.1.01666_001	NA
574	Aqu2.1.01668_001	NA
575	Aqu2.1.01669_001	NA
576	Aqu2.1.01670_001	NA
577	Aqu2.1.01677_001	NA
578	Aqu2.1.01681_001	NA
579	Aqu2.1.01682_001	NA
580	Aqu2.1.01683_001	NA
581	Aqu2.1.01696_001	NA
582	Aqu2.1.01700_001	NA
583	Aqu2.1.01704_001	NA
584	Aqu2.1.01705_001	NA
585	Aqu2.1.01711_001	NA
586	Aqu2.1.01715_001	NA
587	Aqu2.1.01720_001	NA
588	Aqu2.1.01734_001	NA
589	Aqu2.1.01736_001	NA
590	Aqu2.1.01740_001	NA
591	Aqu2.1.01745_001	NA
592	Aqu2.1.01747_001	NA
593	Aqu2.1.01749_001	NA
594	Aqu2.1.01750_001	NA
595	Aqu2.1.01751_001	NA
596	Aqu2.1.01756_001	NA
597	Aqu2.1.01757_001	NA
598	Aqu2.1.01759_001	NA
599	Aqu2.1.01767_001	NA
600	Aqu2.1.01768_001	NA
601	Aqu2.1.01786_001	NA
602	Aqu2.1.01787_001	NA
603	Aqu2.1.01792_001	NA
604	Aqu2.1.01798_001	NA
605	Aqu2.1.01799_001	NA
606	Aqu2.1.01800_001	NA
607	Aqu2.1.01806_001	NA
608	Aqu2.1.01807_001	NA
609	Aqu2.1.01819_001	NA
610	Aqu2.1.01831_001	NA
611	Aqu2.1.01833_001	NA
612	Aqu2.1.01836_001	NA
613	Aqu2.1.01837_001	NA
614	Aqu2.1.01840_001	NA
615	Aqu2.1.01849_001	NA
616	Aqu2.1.01851_001	NA
617	Aqu2.1.01853_001	NA
618	Aqu2.1.01854_001	NA
619	Aqu2.1.01855_001	NA
620	Aqu2.1.01860_001	NA
621	Aqu2.1.01861_001	NA
622	Aqu2.1.01862_001	NA
623	Aqu2.1.01875_001	NA
624	Aqu2.1.01882_001	NA
625	Aqu2.1.01886_001	NA
626	Aqu2.1.01889_001	NA
627	Aqu2.1.01890_001	NA
628	Aqu2.1.01891_001	NA
629	Aqu2.1.01896_001	NA
630	Aqu2.1.01897_001	NA
631	Aqu2.1.01899_001	NA
632	Aqu2.1.01904_001	NA
633	Aqu2.1.01905_001	NA
634	Aqu2.1.01910_001	NA
635	Aqu2.1.01914_001	NA
636	Aqu2.1.01915_001	NA
637	Aqu2.1.01921_001	NA
638	Aqu2.1.01923_001	NA
639	Aqu2.1.01924_001	NA
640	Aqu2.1.01927_001	NA
641	Aqu2.1.01928_001	NA
642	Aqu2.1.01929_001	NA
643	Aqu2.1.01932_001	NA
644	Aqu2.1.01933_001	NA
645	Aqu2.1.01936_001	NA
646	Aqu2.1.01937_001	NA
647	Aqu2.1.01943_001	NA
648	Aqu2.1.01945_001	NA
649	Aqu2.1.01951_001	NA
650	Aqu2.1.01955_001	NA
651	Aqu2.1.01956_001	NA
652	Aqu2.1.01961_001	NA
653	Aqu2.1.01963_001	NA
654	Aqu2.1.01967_001	NA
655	Aqu2.1.01968_001	NA
656	Aqu2.1.01969_001	NA
657	Aqu2.1.01970_001	NA
658	Aqu2.1.01980_001	NA
659	Aqu2.1.01982_001	NA
660	Aqu2.1.01984_001	NA
661	Aqu2.1.01987_001	NA
662	Aqu2.1.01988_001	NA
